Words,Percent Appearance
zionist,0.024
zionists,0.0155
zog,0.0125
us,0.0105
israel,0.01
jews,0.0085
amp,0.0075
like,0.0055
jewish,0.005
know,0.005
want,0.0045
think,0.0045
palestine,0.0045
apartheid,0.004
one,0.004
white,0.0035
war,0.0035
dont,0.0035
control,0.003
american,0.003
people,0.003
get,0.003
world,0.003
state,0.003
israeli,0.003
trump,0.003
government,0.003
long,0.0025
party,0.0025
jew,0.0025
black,0.0025
gt,0.0025
arab,0.0025
america,0.0025
behind,0.0025
land,0.0025
rabbi,0.0025
look,0.0025
usa,0.002
since,0.002
decades,0.002
states,0.002
going,0.002
yet,0.002
president,0.002
hes,0.002
god,0.002
tell,0.002
media,0.002
2,0.002
lost,0.002
course,0.002
make,0.002
help,0.002
believe,0.002
puppet,0.002
conspiracy,0.002
united,0.0015
ppl,0.0015
working,0.0015
become,0.0015
see,0.0015
bds,0.0015
would,0.0015
europe,0.0015
hitler,0.0015
bad,0.0015
agent,0.0015
hide,0.0015
german,0.0015
matter,0.0015
truth,0.0015
story,0.0015
right,0.0015
support,0.0015
occupy,0.0015
coming,0.0015
cube,0.0015
ha,0.0015
every,0.0015
posted,0.0015
germany,0.0015
another,0.0015
run,0.0015
u,0.0015
take,0.0015
russia,0.0015
creepy,0.0015
good,0.0015
racist,0.0015
im,0.0015
cant,0.0015
heart,0.0015
doesnt,0.0015
ago,0.0015
joe,0.0015
everyone,0.0015
day,0.0015
force,0.0015
east,0.0015
already,0.0015
true,0.0015
says,0.0015
full,0.0015
really,0.0015
two,0.0015
call,0.0015
must,0.001
question,0.001
1933,0.001
boycott,0.001
goods,0.001
cause,0.001
problems,0.001
system,0.001
lie,0.001
rightwing,0.001
freepalestine,0.001
controlled,0.001
china,0.001
illuminati,0.001
city,0.001
channel,0.001
damn,0.001
kill,0.001
da,0.001
beirut,0.001
real,0.001
country,0.001
terrorist,0.001
democrats,0.001
sense,0.001
divide,0.001
pro,0.001
uk,0.001
narrative,0.001
propaganda,0.001
explosion,0.001
behalf,0.001
house,0.001
respect,0.001
nation,0.001
understand,0.001
colonized,0.001
literally,0.001
anything,0.001
soros,0.001
learn,0.001
gaza,0.001
involved,0.001
lebanese,0.001
3rd,0.001
power,0.001
2017,0.001
corbynist,0.001
choked,0.001
spanked,0.001
group,0.001
punish,0.001
crimesagainsthumanity,0.001
way,0.001
african,0.001
demolish,0.001
crimes,0.001
antisemitism,0.001
love,0.001
shows,0.001
obama,0.001
aipacs,0.001
funny,0.001
month,0.001
abortion,0.001
forces,0.001
destroy,0.001
nations,0.001
supported,0.001
blacklivesmatter,0.001
palestinianslivesmatter,0.001
european,0.001
free,0.001
bilderberg,0.001
hire,0.001
attack,0.001
aipac,0.001
lobby,0.001
rally,0.001
congo,0.001
congos,0.001
thats,0.001
high,0.001
zionism,0.001
hate,0.001
nazi,0.001
decade,0.001
years,0.001
watches,0.001
please,0.001
wife,0.001
place,0.001
speaking,0.001
loyal,0.001
here’s,0.001
needs,0.001
everything,0.001
regularly,0.001
didnt,0.001
palestinian,0.001
religious,0.001
truthers,0.001
lobbies,0.001
lord,0.001
israhell,0.001
probably,0.001
netanyahu,0.001
attacks,0.001
911,0.001
nonsense,0.001
patton,0.001
killed,0.001
side,0.001
ready,0.001
end,0.001
red,0.001
men,0.001
masters,0.001
biden,0.001
wall,0.001
read,0.001
say,0.001
illegal,0.001
settlements,0.001
human,0.001
proof,0.001
generation,0.001
leading,0.001
y’all,0.001
n,0.001
policy,0.001
likes,0.001
former,0.001
slave,0.001
words,0.001
powerful,0.001
even,0.001
isreal,0.001
planet,0.001
stooges,0.001
times,0.001
trying,0.001
billions,0.001
create,0.001
networks,0.001
allow,0.001
political,0.001
man,0.001
foreign,0.001
100,0.001
r,0.001
ever,0.001
mediterranean,0.001
next,0.001
sea,0.001
governments,0.001
waiting,0.001
lebanon,0.001
attention,0.001
means,0.001
person,0.001
palestinians,0.001
care,0.001
4,0.001
1,0.001
days,0.001
clan,0.001
old,0.001
live,0.001
exec,0.0005
2013,0.0005
mtg,0.0005
✌️🇵🇸🇵🇸🇵🇸✌️,0.0005
wud,0.0005
buy,0.0005
wapo,0.0005
graham,0.0005
fred,0.0005
ryan,0.0005
pub,0.0005
bezos,0.0005
ceo,0.0005
boron,0.0005
🔗,0.0005
ed,0.0005
instead,0.0005
📰todays,0.0005
headlines,0.0005
regime’s,0.0005
tanks,0.0005
sites,0.0005
unabashedly,0.0005
works,0.0005
publically,0.0005
well,0.0005
soon,0.0005
likely,0.0005
carries,0.0005
river,0.0005
enemy,0.0005
very,0.0005
leave,0.0005
signing,0.0005
twitter,0.0005
sommer,0.0005
doxxing,0.0005
unite,0.0005
attendees,0.0005
supporting,0.0005
big,0.0005
tech,0.0005
antifa,0.0005
attacking,0.0005
doctors,0.0005
obeys,0.0005
orders,0.0005
iranian,0.0005
adolf,0.0005
father,0.0005
illegitimate,0.0005
child,0.0005
banker,0.0005
rothschild,0.0005
maid,0.0005
mistress,0.0005
financed,0.0005
rothschilds,0.0005
drive,0.0005
group4palestine,0.0005
came,0.0005
palestineand,0.0005
passport,0.0005
race,0.0005
first,0.0005
thinks,0.0005
master,0.0005
benjamin,0.0005
successfully,0.0005
able,0.0005
demoralized,0.0005
unavailable,0.0005
johnnyflynn,0.0005
interview,0.0005
ultimate,0.0005
villian,0.0005
ninth,0.0005
stands,0.0005
poor,0.0005
donnie,0.0005
jfkhahahhahahaha,0.0005
loyalty,0.0005
scenes,0.0005
tv,0.0005
recruit,0.0005
sellout,0.0005
leaders,0.0005
cosign,0.0005
bloodthirsty,0.0005
albert,0.0005
pikes,0.0005
letter,0.0005
happened,0.0005
ww,0.0005
whos,0.0005
driving,0.0005
towards,0.0005
subconsciously,0.0005
irony,0.0005
helping,0.0005
pledge,0.0005
earlier,0.0005
senate,0.0005
warmongering,0.0005
career,0.0005
attacked,0.0005
ss,0.0005
7,0.0005
irish,0.0005
exist,0.0005
don’t,0.0005
rules,0.0005
wow,0.0005
top,0.0005
flew,0.0005
converts,0.0005
hebrews,0.0005
said,0.0005
come,0.0005
wakeup,0.0005
yakobe,0.0005
deceivers,0.0005
truth🤯,0.0005
shame,0.0005
deceived,0.0005
you,0.0005
servant,0.0005
bother,0.0005
indirectly,0.0005
violates,0.0005
created,0.0005
temporarily,0.0005
qanon,0.0005
pajeet,0.0005
spotted,0.0005
😂😂😂,0.0005
mentality,0.0005
genes,0.0005
sucking,0.0005
upto,0.0005
knew,0.0005
yall,0.0005
gross,0.0005
nobody,0.0005
neomi,0.0005
shemer,0.0005
prosettlement,0.0005
song,0.0005
accused,0.0005
describing,0.0005
streets,0.0005
jerusalem,0.0005
empty,0.0005
written,0.0005
jewsdamn,0.0005
damnlie,0.0005
shoe,0.0005
shoes,0.0005
head,0.0005
owner,0.0005
corrupt,0.0005
misdeeds,0.0005
pizzagate,0.0005
maga,0.0005
utterly,0.0005
wake,0.0005
imagine,0.0005
scriptures,0.0005
teach,0.0005
ultimately,0.0005
perish,0.0005
icc4israelnow,0.0005
rick,0.0005
controls,0.0005
impossible,0.0005
revoke,0.0005
15,0.0005
billion,0.0005
population,0.0005
synchronized,0.0005
obsessed,0.0005
policies,0.0005
serve,0.0005
project,0.0005
saudi,0.0005
oil,0.0005
dollars,0.0005
looting,0.0005
thoughts,0.0005
rulers,0.0005
worldeating,0.0005
regimes,0.0005
cancer,0.0005
